case_id,asset_id,display_key,lens_id,title,publication_date,earliest_priority_date,applicants,owners,inventors,jurisdiction,kind,legal_status,cpc_classifications,ipcr_classifications,url,match_score,ri_relevance_reason,source_type,mocked,confidence_0_1
auto_access_scient_articles_echogenic_including_medical_pattern_sam,asset_d4a13e0a4d9e,WO 2017/027746 A1,167-053-262-321-003,ECHOGENIC PATTERN AND MEDICAL ARTICLES INCLUDING SAME,2017-02-16,2015-08-11,ACCESS SCIENT LLC;;CADENCE SCIENCE INC,,NGUYEN TU;;BEALKA DAVID JOSEPH,WO,A1,PENDING,A61B17/3415;;A61B17/3417;;A61M25/0108;;A61M5/329;;A61B17/3415;;A61B17/3417;;A61B34/20;;A61B2034/2063;;A61M25/0108,A61B17/34;;A61M29/00,https://lens.org/167-053-262-321-003,6,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_advanced_interconnections_adapter_circuit_gullwing_having_integrated_leads,asset_fc8e6dde0fa4,WO 1991/015881 A1,081-222-993-269-671,INTEGRATED CIRCUIT ADAPTER HAVING GULLWING-SHAPED LEADS,1991-10-17,1990-04-06,ADVANCED INTERCONNECTIONS,,MURPHY JAMES V,WO,A1,PENDING,H10P72/0438;;H01R12/716;;H05K7/1023;;H05K7/1084,H01L21/00;;H05K7/10,https://lens.org/081-222-993-269-671,7,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_advanced_interconnections_construction_improved_positioning_socket_termina,asset_f7389f4d5eaf,EP 0139662 B1,008-621-902-392-449,IMPROVED SOCKET TERMINAL POSITIONING METHOD AND CONSTRUCTION,1991-03-27,1983-03-22,"ADVANCED INTERCONNECTIONS, INC.",,"MURPHY, JAMES, V.",EP,B1,EXPIRED,B65D73/0042;;H01R4/02;;H01R12/58;;H01R12/65;;H01R43/205;;H05K3/306;;H05K2201/10333;;H05K2201/10424;;H05K2203/0195;;Y10T29/4987;;Y10T29/49876;;B65D73/0042;;H01R4/02;;H01R12/58;;H01R12/65;;H01R43/205;;H05K3/306;;H05K2201/10333;;H05K2201/10424;;H05K2203/0195;;Y10T29/4987;;Y10T29/49876,B23P19/02;;B23P19/00;;B23P21/00;;B65D73/00;;H01R4/02;;H01R43/20;;H05K3/30;;H05K3/34;;H05K13/04,https://lens.org/008-621-902-392-449,5,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_aebischer_patrick_combinations_defined_immunosuppressants_immunosu,asset_3918cb68190e,WO 1992/017130 A1,104-519-806-801-811,LOCAL IMMUNOSUPPRESSION BY POLYMER RELEASE OF DEFINED COMBINATIONS OF IMMUNOSUPPRESSANTS,1992-10-15,1991-03-29,AEBISCHER PATRICK;;LACY PAUL E,,AEBISCHER PATRICK;;LACY PAUL E,WO,A1,PENDING,A61K9/0024;;A61K38/00;;C07K16/28,A61K9/00;;A61K38/00;;C07K16/28,https://lens.org/104-519-806-801-811,7,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_aegis_technologie_chronic_copd_disease_imidazoline_inhalation_obst,asset_06eb0cb0e065,EP 0527925 A1,079-290-739-621-943,TREATMENT OF CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD) BY INHALATION OF AN IMIDAZOLINE.,1993-02-24,1990-05-07,AEGIS TECHNOLOGIE INC,,SKUPIN ALVARO H,EP,A1,DISCONTINUED,A61K9/0075;;A61K9/008;;A61K31/415;;A61P11/00;;A61K9/0075;;A61K9/008;;A61K31/415,A61K9/72;;A61K9/00;;A61K31/415;;A61P11/00,https://lens.org/079-290-739-621-943,7,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_aegis_technology_chronic_copd_disease_imidazoline_inhalation_obst,asset_63a3ab3cfeac,WO 1991/016891 A1,113-615-057-154-472,TREATMENT OF CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD) BY INHALATION OF AN IMIDAZOLINE,1991-11-14,1990-05-07,AEGIS TECHNOLOGY INC,,SKUPIN ALVARO H,WO,A1,PENDING,A61K9/0075;;A61K9/008;;A61K31/415;;A61P11/00;;A61K9/0075;;A61K9/008;;A61K31/415,A61K9/72;;A61K9/00;;A61K31/415;;A61P11/00,https://lens.org/113-615-057-154-472,7,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_agricultural_corp_apparat_massedyrkning_planter,asset_36d824e3a0a1,DK 2912937 T3,154-808-908-087-123,Apparat til massedyrkning af planter,2019-02-11,2012-10-25,AGRICULTURAL CORP GREEN K FARM K FARM CO LTD;;GREEN PLUS CO LTD,,PARK YEONG HWAN,DK,T3,ACTIVE,A01G9/143;;A01G31/04;;A01G31/06;;Y02A40/25;;Y02P60/21;;A01G31/06;;A01G9/143;;A01G31/04;;Y02A40/25;;Y02P60/21;;A01G9/14;;A01G9/02;;A01G9/143;;A01G31/02;;A01G31/04;;A01G31/06;;Y02A40/25;;Y02P60/21,A01G9/14;;A01G31/02;;A01G31/04;;A01G31/06,https://lens.org/154-808-908-087-123,3,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_alkermes_rege_compound_narcolepsy,asset_dedf61099bd7,IL 326910 A,069-608-703-072-166,Compound for use in treating narcolepsy,2026-05-01,2023-10-20,ALKERMES INC;;REGE BHASKAR M;;LANDRY ISHANI SAVANT;;BERELLINI GIULIANO;;KHARIDIA JAHNAVI;;MACPHEE J MICHAEL;;KUMAR ROHIT;;CHEN JUN;;HUKKANEN ERIC J;;KHITERER MARIYA;;HOGAN PHILIP C;;YAGODA SERGEY A,,REGE BHASKAR M;;LANDRY ISHANI SAVANT;;BERELLINI GIULIANO;;KHARIDIA JAHNAVI;;MACPHEE J MICHAEL;;KUMAR ROHIT;;CHEN JUN;;HUKKANEN ERIC J;;KHITERER MARIYA;;HOGAN PHILIP C;;YAGODA SERGEY A,IL,A,PENDING,A61K31/445;;A61K9/4866;;A61K9/2054;;A61K9/2018;;A61K9/2027;;A61K31/4353;;A61K31/445;;A61K9/4866;;A61K9/2054;;A61K9/2018;;A61K9/4816;;A61P25/26;;A61K9/2027;;A61K9/0053;;A61P25/26;;A61K9/0053;;A61K9/4816;;A61K31/4353,A61K31/4353;;A61K31/445;;A61P25/26,https://lens.org/069-608-703-072-166,2,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_alliance_sustainable_films_halide_making_metal_organo_perovskites_sam,asset_45136783c407,WO 2016/187340 A1,169-613-006-248-674,ORGANO-METAL HALIDE PEROVSKITES FILMS AND METHODS OF MAKING THE SAME,2016-11-24,2015-05-19,ALLIANCE SUSTAINABLE ENERGY;;BROWN UNIV - TECH VENTURES OFFICE,,ZHU KAI;;YANG MENGJIN;;ZHOU YUANYUAN;;PADTURE NITIN P,WO,A1,PENDING,H10K71/15;;H10K30/10;;H10K30/151;;H10K30/50;;H10K71/40;;H10K71/441;;H10K85/50;;Y02E10/549;;Y02P70/50;;H10K71/15;;H10K30/10;;H10K30/151;;H10K30/50;;H10K71/40;;H10K71/441;;H10K85/30;;H10K85/50;;Y02E10/549;;Y02P70/50,H01L31/04;;H10K99/00,https://lens.org/169-613-006-248-674,7,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_alphacryptec_hwang_alleviating_containing_cosmetic_daphnetin_inflam,asset_6b8beb81c1d6,WO 2009/096695 A2,108-813-322-153-291,COSMETIC COMPOSITION FOR ALLEVIATING PRURITUS OR INFLAMMATION CONTAINING DAPHNETIN,2009-08-06,2008-01-28,"ALPHACRYPTEC CO., LTD.;;HWANG, Sun One",,,WO,A2,PENDING,A61K8/498;;A61K2800/70;;A61K2800/75;;A61Q5/00;;A61Q17/00;;A61K8/34;;A61K8/33;;A61Q19/00,A61K8/34,https://lens.org/108-813-322-153-291,6,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_ambrogi_apparato_arboree_attuazione_colture_dell_disposi,asset_614b69cf2f0d,IT 1397869 B1,048-479-776-733-615,IMPIANTO DI IRRIGAZIONE DELL'APPARATO RADICALE NELLE COLTURE ARBOREE E DISPOSITIVO PER LA SUA ATTUAZIONE.,2013-02-04,2009-09-18,AMBROGI,,AMBROGI BRUNO,IT,B1,ACTIVE,A01G27/006,,https://lens.org/048-479-776-733-615,10,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_amel_tech_crystal_display_liquid_transflective,asset_91d9fd573244,WO 2016/167788 A1,008-297-203-672-458,TRANSFLECTIVE LIQUID CRYSTAL DISPLAY,2016-10-20,2015-04-17,AMEL TECH LLC,,NEVEUX NATHANAEL,WO,A1,PENDING,G02F1/133602;;G02F1/133514;;G02F1/133521;;G02F1/133555;;G02F1/133626;;G02F2201/52;;G02F1/133602;;G02F1/133514;;G02F1/133521;;G02F1/133555;;G02F1/133626;;G02F2201/52;;G02F2203/01;;G09G3/3607;;G09G2360/144,G02F1/133,https://lens.org/008-297-203-672-458,4,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_american_power_alta_energia_fases,asset_1a6facc929c0,BR 112012003835 A2,109-456-327-850-313,ups de alta energia de três fases,2016-03-22,2009-08-20,AMERICAN POWER CONV CORP,,NIELSEN HENNING R,BR,A2,DISCONTINUED,H02J9/062;;H02J9/063;;H02M1/009;;H02M5/458;;H02M7/217;;H02M5/4585;;H02J9/062;;H02J9/063;;H02M1/009;;H02M5/458;;H02M7/217,H02J9/06;;H02M1/42;;H02M7/217,https://lens.org/109-456-327-850-313,3,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_american_power_aparelho_fonte_para_sistema_todo,asset_7e28a81170bc,BR PI0910995 A2,191-381-162-249-377,"aparelho, sistema e método para uma fonte ups",2016-01-19,2008-04-02,AMERICAN POWER CONV CORP,,COHEN DANIEL C;;COLUCCI DAVID A;;SPITAELS JAMES S;;MELANSON MARK R,BR,A2,DISCONTINUED,G06F1/30;;H02J9/062;;H02J7/865;;G06F1/30;;H02J9/062,G06F1/30;;H02J9/06,https://lens.org/191-381-162-249-377,5,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_american_power_bipolares_carregador_entradas_isolado,asset_7c30dc8e6521,BR PI0911263 A2,010-738-968-129-273,carregador não isolado com entradas bipolares,2015-10-13,2008-04-02,AMERICAN POWER CONV CORP,,SAMSTAD JEFFREY B,BR,A2,DISCONTINUED,H02M3/1582;;H02J7/00;;H02J9/04;;H02J9/063;;H02J2207/20;;H02M3/1582;;H02J7/00;;H02J9/04;;H02J9/063;;H02J2207/20,H02J9/04;;H02J7/00;;H02M3/158,https://lens.org/010-738-968-129-273,4,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
