case_id,title,rank,physician_id,name,specialty,institution,match_score,clinical_tags_matched
auto_brown_university_ace2_cells_enters_host_induced_infection_prevent,METHODS FOR PREVENTING REVERSING TREATING INFECTION Technology Platform Opportun,1,npi_1942682133,SHEETAL KUMAR,HEMATOLOGY/ONCOLOGY,RHODE ISLAND HOSPITAL,99,medical_oncology
auto_brown_university_ace2_cells_enters_host_induced_infection_prevent,METHODS FOR PREVENTING REVERSING TREATING INFECTION Technology Platform Opportun,2,npi_1104310846,ARIANA SANTOPIETRO,HEMATOLOGY/ONCOLOGY,RHODE ISLAND HOSPITAL,98,medical_oncology
auto_brown_university_ace2_cells_enters_host_induced_infection_prevent,METHODS FOR PREVENTING REVERSING TREATING INFECTION Technology Platform Opportun,3,npi_1265936702,SANDEEP JAIN,HEMATOLOGY/ONCOLOGY,"PROVIDENCE, RI",98,medical_oncology
auto_brown_university_ace2_cells_enters_host_induced_infection_prevent,METHODS FOR PREVENTING REVERSING TREATING INFECTION Technology Platform Opportun,4,npi_1396205639,PRATEEK POPHALI,HEMATOLOGY/ONCOLOGY,RHODE ISLAND HOSPITAL,98,medical_oncology
auto_brown_university_ace2_cells_enters_host_induced_infection_prevent,METHODS FOR PREVENTING REVERSING TREATING INFECTION Technology Platform Opportun,5,npi_1558922674,ALVARO ALVAREZ SOTO,HEMATOLOGY/ONCOLOGY,RHODE ISLAND HOSPITAL,98,medical_oncology
auto_brown_university_ace2_cells_enters_host_induced_infection_prevent,METHODS FOR PREVENTING REVERSING TREATING INFECTION Technology Platform Opportun,6,npi_1780116327,ADEL CHERGUI,HEMATOLOGY/ONCOLOGY,RHODE ISLAND HOSPITAL,98,medical_oncology
auto_brown_university_ace2_cells_enters_host_induced_infection_prevent,METHODS FOR PREVENTING REVERSING TREATING INFECTION Technology Platform Opportun,7,npi_1811493414,MATTHEW HADFIELD,HEMATOLOGY/ONCOLOGY,RHODE ISLAND HOSPITAL,98,medical_oncology
auto_brown_university_ace2_cells_enters_host_induced_infection_prevent,METHODS FOR PREVENTING REVERSING TREATING INFECTION Technology Platform Opportun,8,npi_1891358057,PHILIP TRACY,HEMATOLOGY/ONCOLOGY,RHODE ISLAND HOSPITAL,98,medical_oncology
auto_brown_university_ace2_cells_enters_host_induced_infection_prevent,METHODS FOR PREVENTING REVERSING TREATING INFECTION Technology Platform Opportun,9,npi_1154377000,NINA TATEVIAN,PATHOLOGY,AFFINITY PHYSICIANS LLC.,95,pathology
auto_brown_university_ace2_cells_enters_host_induced_infection_prevent,METHODS FOR PREVENTING REVERSING TREATING INFECTION Technology Platform Opportun,10,npi_1871547398,JOSEPH SWEENEY,PATHOLOGY,RHODE ISLAND HOSPITAL,95,pathology
auto_brown_university_antifungal_fungal_infections_nanoparticles_targe,Antifungal nanoparticles for targeted treatment fungal Technology Platform Oppor,1,npi_1073718417,LESLIE HUFF,PATHOLOGY,"MASSTEX IMAGING, LLC",93,pathology
auto_brown_university_antifungal_fungal_infections_nanoparticles_targe,Antifungal nanoparticles for targeted treatment fungal Technology Platform Oppor,2,npi_1124057328,MONIQUE DEPAEPE,PATHOLOGY,AFFINITY PHYSICIANS LLC.,93,pathology
auto_brown_university_antifungal_fungal_infections_nanoparticles_targe,Antifungal nanoparticles for targeted treatment fungal Technology Platform Oppor,3,npi_1174889190,RUISHENG YAO,PATHOLOGY,AFFINITY PHYSICIANS LLC.,93,pathology
auto_brown_university_antifungal_fungal_infections_nanoparticles_targe,Antifungal nanoparticles for targeted treatment fungal Technology Platform Oppor,4,npi_1225082720,LATHA PISHARODI,PATHOLOGY,RHODE ISLAND HOSPITAL,93,pathology
auto_brown_university_antifungal_fungal_infections_nanoparticles_targe,Antifungal nanoparticles for targeted treatment fungal Technology Platform Oppor,5,npi_1336167220,CHIEN SUNG,PATHOLOGY,AFFINITY PHYSICIANS LLC.,93,pathology
auto_brown_university_antifungal_fungal_infections_nanoparticles_targe,Antifungal nanoparticles for targeted treatment fungal Technology Platform Oppor,6,npi_1346273505,MOHAMMAD QUDDUS,PATHOLOGY,AFFINITY PHYSICIANS LLC.,93,pathology
auto_brown_university_antifungal_fungal_infections_nanoparticles_targe,Antifungal nanoparticles for targeted treatment fungal Technology Platform Oppor,7,npi_1407961741,JIAFAN QI,PATHOLOGY,"UNIVERSITY PATHOLOGISTS, LLC",93,pathology
